dataset,frequency,term,scope,window_config,context_limit,prediction_length,generated_queries,channel_windows,values,finite_values,nan_values,positive_infinity_values,negative_infinity_values,nonfinite_values,nonfinite_channel_windows,constant_channel_windows,all_nonfinite_channel_windows
Australia_Solar,H,all,context,"L=2048,H=168",2048,168,15,45,92160,77777,14383,0,0,14383,30,0,0
Australia_Solar,H,all,context,"L=2048,H=24",2048,24,105,315,645120,543986,101134,0,0,101134,210,0,0
Australia_Solar,H,all,context,"L=2048,H=72",2048,72,35,105,215040,181378,33662,0,0,33662,70,0,0
Australia_Solar,H,all,context,"L=4096,H=168",4096,168,15,45,184320,154995,29325,0,0,29325,30,0,0
Australia_Solar,H,all,context,"L=4096,H=24",4096,24,105,315,1290240,1084998,205242,0,0,205242,210,0,0
Australia_Solar,H,all,context,"L=4096,H=72",4096,72,35,105,430080,361661,68419,0,0,68419,70,0,0
Australia_Solar,H,all,context,"L=8192,H=168",8192,168,15,45,368640,305796,62844,0,0,62844,30,0,0
Australia_Solar,H,all,context,"L=8192,H=24",8192,24,105,315,2580480,2140533,439947,0,0,439947,210,0,0
Australia_Solar,H,all,context,"L=8192,H=72",8192,72,35,105,860160,713516,146644,0,0,146644,70,0,0
Australia_Solar,H,all,context,"L=full,H=168",,168,15,45,1517400,1240143,277257,0,0,277257,30,0,0
Australia_Solar,H,all,context,"L=full,H=24",,24,105,315,10644480,8699753,1944727,0,0,1944727,210,0,0
Australia_Solar,H,all,context,"L=full,H=72",,72,35,105,3545640,2897833,647807,0,0,647807,70,0,0
Australia_Solar,H,all,query,H=168,,168,15,45,7560,6271,1289,0,0,1289,30,0,0
Australia_Solar,H,all,query,H=24,,24,105,315,7560,6271,1289,0,0,1289,210,0,3
Australia_Solar,H,all,query,H=72,,72,35,105,7560,6271,1289,0,0,1289,70,0,0
Auto_Production_SF,M,all,context,"L=2048,H=12",2048,12,5,5,1655,1655,0,0,0,0,0,0,0
Auto_Production_SF,M,all,context,"L=4096,H=12",4096,12,5,5,1655,1655,0,0,0,0,0,0,0
Auto_Production_SF,M,all,context,"L=8192,H=12",8192,12,5,5,1655,1655,0,0,0,0,0,0,0
Auto_Production_SF,M,all,context,"L=full,H=12",,12,5,5,1655,1655,0,0,0,0,0,0,0
Auto_Production_SF,M,all,query,H=12,,12,5,5,60,60,0,0,0,0,0,0,0
CPHL,15T,all,context,"L=2048,H=12",2048,12,240,240,491520,490691,829,0,0,829,240,0,0
CPHL,15T,all,context,"L=2048,H=288",2048,288,10,10,20480,20445,35,0,0,35,10,0,0
CPHL,15T,all,context,"L=2048,H=96",2048,96,30,30,61440,61337,103,0,0,103,30,0,0
CPHL,15T,all,context,"L=4096,H=12",4096,12,240,240,983040,981395,1645,0,0,1645,240,0,0
CPHL,15T,all,context,"L=4096,H=288",4096,288,10,10,40960,40892,68,0,0,68,10,0,0
CPHL,15T,all,context,"L=4096,H=96",4096,96,30,30,122880,122675,205,0,0,205,30,0,0
CPHL,15T,all,context,"L=8192,H=12",8192,12,240,240,1966080,1962808,3272,0,0,3272,240,0,0
CPHL,15T,all,context,"L=8192,H=288",8192,288,10,10,81920,81784,136,0,0,136,10,0,0
CPHL,15T,all,context,"L=8192,H=96",8192,96,30,30,245760,245351,409,0,0,409,30,0,0
CPHL,15T,all,context,"L=full,H=12",,12,240,240,2320200,2316299,3901,0,0,3901,240,0,0
CPHL,15T,all,context,"L=full,H=288",,288,10,10,95295,95135,160,0,0,160,10,0,0
CPHL,15T,all,context,"L=full,H=96",,96,30,30,288765,288280,485,0,0,485,30,0,0
CPHL,15T,all,query,H=12,,12,240,240,2880,2875,5,0,0,5,5,0,0
CPHL,15T,all,query,H=288,,288,10,10,2880,2875,5,0,0,5,5,0,0
CPHL,15T,all,query,H=96,,96,30,30,2880,2875,5,0,0,5,5,0,0
CPHL,30T,all,context,"L=2048,H=12",2048,12,240,240,491520,460938,30582,0,0,30582,240,0,0
CPHL,30T,all,context,"L=2048,H=144",2048,144,20,20,40960,38417,2543,0,0,2543,20,0,0
CPHL,30T,all,context,"L=2048,H=48",2048,48,60,60,122880,115247,7633,0,0,7633,60,0,0
CPHL,30T,all,context,"L=4096,H=12",4096,12,240,240,983040,944233,38807,0,0,38807,240,0,0
CPHL,30T,all,context,"L=4096,H=144",4096,144,20,20,81920,78774,3146,0,0,3146,20,0,0
CPHL,30T,all,context,"L=4096,H=48",4096,48,60,60,245760,236130,9630,0,0,9630,60,0,0
CPHL,30T,all,context,"L=8192,H=12",8192,12,240,240,1966080,1908861,57219,0,0,57219,240,0,0
CPHL,30T,all,context,"L=8192,H=144",8192,144,20,20,163840,159165,4675,0,0,4675,20,0,0
CPHL,30T,all,context,"L=8192,H=48",8192,48,60,60,491520,477290,14230,0,0,14230,60,0,0
CPHL,30T,all,context,"L=full,H=12",,12,240,240,3350640,3060229,290411,0,0,290411,240,0,0
CPHL,30T,all,context,"L=full,H=144",,144,20,20,277900,253793,24107,0,0,24107,20,0,0
CPHL,30T,all,context,"L=full,H=48",,48,60,60,836580,764054,72526,0,0,72526,60,0,0
CPHL,30T,all,query,H=12,,12,240,240,2880,2681,199,0,0,199,66,0,0
CPHL,30T,all,query,H=144,,144,20,20,2880,2681,199,0,0,199,10,0,0
CPHL,30T,all,query,H=48,,48,60,60,2880,2681,199,0,0,199,25,0,0
CPHL,H,all,context,"L=2048,H=168",2048,168,16,16,32464,32332,132,0,0,132,8,0,0
CPHL,H,all,context,"L=2048,H=24",2048,24,112,112,228144,227160,984,0,0,984,56,0,0
CPHL,H,all,context,"L=2048,H=336",2048,336,8,8,16142,16079,63,0,0,63,4,0,0
CPHL,H,all,context,"L=4096,H=168",4096,168,16,16,50200,50068,132,0,0,132,8,0,0
