2026-09-04 17:56:21 | workflow dataset_diagnostics started launch_id=selena_dataset_diagnostics_20260904T155618Z_29769 task=window_audit_and_features
2026-09-04 17:56:21 | stage window_audit started
2026-09-04 17:56:21 | task audit configured TIME queries and model-effective contexts started
2026-09-04T17:56:44+02:00 | dataset 1/50 Water_Quality_Darwin/15T terms=['short', 'medium', 'long']
2026-09-04T17:56:45+02:00 | task Water_Quality_Darwin/15T/short audited queries=630
2026-09-04T17:56:45+02:00 | task Water_Quality_Darwin/15T/medium audited queries=105
2026-09-04T17:56:45+02:00 | task Water_Quality_Darwin/15T/long audited queries=35
2026-09-04T17:56:45+02:00 | dataset 2/50 current_velocity/5T terms=['short', 'medium', 'long']
2026-09-04T17:56:45+02:00 | task current_velocity/5T/short audited queries=120
2026-09-04T17:56:45+02:00 | task current_velocity/5T/medium audited queries=15
2026-09-04T17:56:45+02:00 | task current_velocity/5T/long audited queries=5
2026-09-04T17:56:45+02:00 | dataset 3/50 current_velocity/10T terms=['short', 'medium', 'long']
2026-09-04T17:56:46+02:00 | task current_velocity/10T/short audited queries=1200
2026-09-04T17:56:46+02:00 | task current_velocity/10T/medium audited queries=150
2026-09-04T17:56:46+02:00 | task current_velocity/10T/long audited queries=50
2026-09-04T17:56:46+02:00 | dataset 4/50 current_velocity/15T terms=['short', 'medium', 'long']
2026-09-04T17:56:46+02:00 | task current_velocity/15T/short audited queries=600
2026-09-04T17:56:46+02:00 | task current_velocity/15T/medium audited queries=75
2026-09-04T17:56:46+02:00 | task current_velocity/15T/long audited queries=25
2026-09-04T17:56:46+02:00 | dataset 5/50 current_velocity/20T terms=['short', 'medium', 'long']
2026-09-04T17:56:47+02:00 | task current_velocity/20T/short audited queries=3240
2026-09-04T17:56:47+02:00 | task current_velocity/20T/medium audited queries=405
2026-09-04T17:56:47+02:00 | task current_velocity/20T/long audited queries=135
2026-09-04T17:56:47+02:00 | dataset 6/50 current_velocity/H terms=['short', 'medium', 'long']
2026-09-04T17:56:47+02:00 | task current_velocity/H/short audited queries=588
2026-09-04T17:56:47+02:00 | task current_velocity/H/medium audited queries=84
2026-09-04T17:56:47+02:00 | task current_velocity/H/long audited queries=42
2026-09-04T17:56:47+02:00 | dataset 7/50 CPHL/15T terms=['short', 'medium', 'long']
2026-09-04T17:56:47+02:00 | task CPHL/15T/short audited queries=240
2026-09-04T17:56:47+02:00 | task CPHL/15T/medium audited queries=30
2026-09-04T17:56:47+02:00 | task CPHL/15T/long audited queries=10
2026-09-04T17:56:47+02:00 | dataset 8/50 CPHL/30T terms=['short', 'medium', 'long']
2026-09-04T17:56:48+02:00 | task CPHL/30T/short audited queries=240
2026-09-04T17:56:48+02:00 | task CPHL/30T/medium audited queries=60
2026-09-04T17:56:48+02:00 | task CPHL/30T/long audited queries=20
2026-09-04T17:56:48+02:00 | dataset 9/50 CPHL/H terms=['short', 'medium', 'long']
2026-09-04T17:56:48+02:00 | task CPHL/H/short audited queries=112
2026-09-04T17:56:48+02:00 | task CPHL/H/medium audited queries=16
2026-09-04T17:56:48+02:00 | task CPHL/H/long audited queries=8
2026-09-04T17:56:48+02:00 | dataset 10/50 Coastal_T_S/5T terms=['short', 'medium', 'long']
2026-09-04T17:56:48+02:00 | task Coastal_T_S/5T/short audited queries=2160
2026-09-04T17:56:48+02:00 | task Coastal_T_S/5T/medium audited queries=270
2026-09-04T17:56:48+02:00 | task Coastal_T_S/5T/long audited queries=90
2026-09-04T17:56:48+02:00 | dataset 11/50 Coastal_T_S/15T terms=['short', 'medium', 'long']
2026-09-04T17:56:48+02:00 | task Coastal_T_S/15T/short audited queries=600
2026-09-04T17:56:48+02:00 | task Coastal_T_S/15T/medium audited queries=75
2026-09-04T17:56:48+02:00 | task Coastal_T_S/15T/long audited queries=25
2026-09-04T17:56:48+02:00 | dataset 12/50 Coastal_T_S/20T terms=['short', 'medium', 'long']
2026-09-04T17:56:48+02:00 | task Coastal_T_S/20T/short audited queries=120
2026-09-04T17:56:48+02:00 | task Coastal_T_S/20T/medium audited queries=15
2026-09-04T17:56:48+02:00 | task Coastal_T_S/20T/long audited queries=5
2026-09-04T17:56:49+02:00 | dataset 13/50 Coastal_T_S/H terms=['short', 'medium', 'long']
2026-09-04T17:56:49+02:00 | task Coastal_T_S/H/short audited queries=672
2026-09-04T17:56:49+02:00 | task Coastal_T_S/H/medium audited queries=96
2026-09-04T17:56:49+02:00 | task Coastal_T_S/H/long audited queries=48
2026-09-04T17:56:49+02:00 | dataset 14/50 SG_Weather/D terms=['short', 'medium', 'long']
2026-09-04T17:56:50+02:00 | task SG_Weather/D/short audited queries=732
2026-09-04T17:56:50+02:00 | task SG_Weather/D/medium audited queries=312
2026-09-04T17:56:50+02:00 | task SG_Weather/D/long audited queries=156
2026-09-04T17:56:50+02:00 | dataset 15/50 SG_PM25/H terms=['short', 'medium', 'long']
2026-09-04T17:56:50+02:00 | task SG_PM25/H/short audited queries=92
2026-09-04T17:56:50+02:00 | task SG_PM25/H/medium audited queries=30
2026-09-04T17:56:50+02:00 | task SG_PM25/H/long audited queries=13
2026-09-04T17:56:50+02:00 | dataset 16/50 NE_China_Wind/H terms=['short', 'medium', 'long']
2026-09-04T17:56:50+02:00 | task NE_China_Wind/H/short audited queries=30
2026-09-04T17:56:50+02:00 | task NE_China_Wind/H/medium audited queries=10
2026-09-04T17:56:50+02:00 | task NE_China_Wind/H/long audited queries=4
2026-09-04T17:56:50+02:00 | dataset 17/50 Australia_Solar/H terms=['short', 'medium', 'long']
2026-09-04T17:56:51+02:00 | task Australia_Solar/H/short audited queries=105
2026-09-04T17:56:51+02:00 | task Australia_Solar/H/medium audited queries=35
2026-09-04T17:56:51+02:00 | task Australia_Solar/H/long audited queries=15
2026-09-04T17:56:51+02:00 | dataset 18/50 epf_electricity_price/H terms=['short', 'medium', 'long']
2026-09-04T17:56:51+02:00 | task epf_electricity_price/H/short audited queries=525
2026-09-04T17:56:51+02:00 | task epf_electricity_price/H/medium audited queries=175
2026-09-04T17:56:51+02:00 | task epf_electricity_price/H/long audited queries=75
2026-09-04T17:56:52+02:00 | dataset 19/50 OpenElectricity_NEM/5T terms=['short', 'medium', 'long']
2026-09-04T17:56:52+02:00 | task OpenElectricity_NEM/5T/short audited queries=168
2026-09-04T17:56:52+02:00 | task OpenElectricity_NEM/5T/medium audited queries=42
2026-09-04T17:56:52+02:00 | task OpenElectricity_NEM/5T/long audited queries=14
2026-09-04T17:56:52+02:00 | dataset 20/50 EWELD_Load/15T terms=['short', 'medium', 'long']
2026-09-04T17:56:52+02:00 | task EWELD_Load/15T/short audited queries=56
2026-09-04T17:56:52+02:00 | task EWELD_Load/15T/medium audited queries=14
2026-09-04T17:56:52+02:00 | task EWELD_Load/15T/long audited queries=2
2026-09-04T17:56:52+02:00 | dataset 21/50 SG_Carpark/15T terms=['short', 'medium', 'long']
2026-09-04T17:57:00+02:00 | task SG_Carpark/15T/short audited queries=14868
2026-09-04T17:57:00+02:00 | task SG_Carpark/15T/medium audited queries=2478
2026-09-04T17:57:00+02:00 | task SG_Carpark/15T/long audited queries=354
2026-09-04T17:57:00+02:00 | dataset 22/50 Finland_Traffic/15T terms=['short', 'medium', 'long']
