2026-09-03 12:54:20 | workflow dataset_diagnostics started launch_id=selena_dataset_diagnostics_20260903T105418Z_37671 task=window_audit_and_features
2026-09-03 12:54:20 | stage window_audit started
2026-09-03 12:54:20 | task audit configured TIME queries and model-effective contexts started
2026-09-03T12:54:35+02:00 | dataset 1/50 Water_Quality_Darwin/15T terms=['short', 'medium', 'long']
2026-09-03T12:54:37+02:00 | task Water_Quality_Darwin/15T/short audited queries=630
2026-09-03T12:54:37+02:00 | task Water_Quality_Darwin/15T/medium audited queries=105
2026-09-03T12:54:37+02:00 | task Water_Quality_Darwin/15T/long audited queries=35
2026-09-03T12:54:37+02:00 | dataset 2/50 current_velocity/5T terms=['short', 'medium', 'long']
2026-09-03T12:54:37+02:00 | task current_velocity/5T/short audited queries=120
2026-09-03T12:54:37+02:00 | task current_velocity/5T/medium audited queries=15
2026-09-03T12:54:37+02:00 | task current_velocity/5T/long audited queries=5
2026-09-03T12:54:37+02:00 | dataset 3/50 current_velocity/10T terms=['short', 'medium', 'long']
2026-09-03T12:54:39+02:00 | task current_velocity/10T/short audited queries=1200
2026-09-03T12:54:39+02:00 | task current_velocity/10T/medium audited queries=150
2026-09-03T12:54:39+02:00 | task current_velocity/10T/long audited queries=50
2026-09-03T12:54:39+02:00 | dataset 4/50 current_velocity/15T terms=['short', 'medium', 'long']
2026-09-03T12:54:40+02:00 | task current_velocity/15T/short audited queries=600
2026-09-03T12:54:40+02:00 | task current_velocity/15T/medium audited queries=75
2026-09-03T12:54:40+02:00 | task current_velocity/15T/long audited queries=25
2026-09-03T12:54:40+02:00 | dataset 5/50 current_velocity/20T terms=['short', 'medium', 'long']
2026-09-03T12:54:43+02:00 | task current_velocity/20T/short audited queries=3240
2026-09-03T12:54:43+02:00 | task current_velocity/20T/medium audited queries=405
2026-09-03T12:54:44+02:00 | task current_velocity/20T/long audited queries=135
2026-09-03T12:54:44+02:00 | dataset 6/50 current_velocity/H terms=['short', 'medium', 'long']
2026-09-03T12:54:44+02:00 | task current_velocity/H/short audited queries=588
2026-09-03T12:54:44+02:00 | task current_velocity/H/medium audited queries=84
